tt2119532,Hacksaw Ridge,Academy Award for Best Sound
tt2119532,Hacksaw Ridge,National Board of Review: Top Ten Films
tt2119532,Hacksaw Ridge,AACTA Award for Best Film
tt2119532,Hacksaw Ridge,AACTA Award for Best Actor in a Supporting Role
tt2119532,Hacksaw Ridge,AACTA Award for Best Actor in a Leading Role
tt2119532,Hacksaw Ridge,AACTA Award for Best Cinematography
imdb_id,title,award_label
tt0121766,Star Wars: Episode III – Revenge of the Sith,MTV Movie Award for Best Villain
tt0121766,Star Wars: Episode III – Revenge of the Sith,Saturn Award for Best Science Fiction Film
tt0443272,Lincoln,Academy Award for Best Actor
tt0443272,Lincoln,Academy Award for Best Production Design
tt0443272,Lincoln,National Board of Review: Top Ten Films
tt0443272,Lincoln,Satellite Award for Best Film
tt0443272,Lincoln,Dallas-Fort Worth Film Critics Association Award for Best Film
tt0075314,Taxi Driver,Palme d'Or
tt1276104,Looper,National Board of Review: Top Ten Films
tt0086979,Blood Simple,Sundance Film Festival U.S. Dramatic Grand Jury Prize Award
tt0101410,Barton Fink,Palme d'Or
tt0086979,Blood Simple,National Board of Review: Top Ten Films
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010 Teen Choice Awards
tt0213149,Pearl Harbor,Academy Awards
tt0055614,West Side Story,Academy Award for Best Picture
tt0041959,The Third Man,Cannes Film Festival Grand Prix by
tt0041959,The Third Man,BAFTA Award for Best British Film
tt0041959,The Third Man,"Academy Award for Best Cinematography, Black-and-White"
tt0055614,West Side Story,Academy Award for Best Director
tt0055614,West Side Story,Academy Award for Best Supporting Actor
tt0055614,West Side Story,Academy Award for Best Supporting Actress
tt0055614,West Side Story,Academy Award for Best Film Editing
tt0055614,West Side Story,Academy Award for Best Sound
tt0055614,West Side Story,"Academy Award for Best Costume Design, Color"
tt0055614,West Side Story,"Academy Award for Best Art Direction, Color"
tt0055614,West Side Story,National Board of Review: Top Ten Films
tt0055614,West Side Story,Academy Award for Best Original Musical Score
